locality_no,year,week,avg_adult_female_lice,avg_mobile_lice,avg_stationary_lice
40297,2024,1,0.0,0.0,0.0
40297,2024,2,0.0,0.0,0.0
40297,2024,3,0.0,0.0,0.0
40297,2024,4,0.0,0.0,0.0
40297,2024,5,0.0,0.0,0.0
40297,2024,6,0.0,0.0,0.0
40297,2024,7,0.0,0.0,0.0
40297,2024,8,0.0,0.0,0.0
40297,2024,9,0.0,0.0,0.0
40297,2024,10,0.0,0.0,0.0
40297,2024,11,0.0,0.0,0.0
40297,2024,12,0.0,0.0,0.0
40297,2024,13,0.0,0.0,0.0
40297,2024,14,0.0,0.0,0.0
40297,2024,15,0.0,0.0,0.0
40297,2024,16,0.0,0.0,0.0
40297,2024,17,0.0,0.0,0.0
40297,2024,18,0.0,0.0,0.0
40297,2024,19,0.0,0.0,0.0
40297,2024,20,0.0,0.0,0.0
40297,2024,21,0.0,0.05,0.03
40297,2024,22,0.0,0.09,0.02
40297,2024,23,0.0,0.05,0.03
40297,2024,24,0.0,0.07,0.04
40297,2024,25,0.0,0.03,0.08
40297,2024,26,0.0,0.2,0.39
40297,2024,27,0.0,0.3,0.9
40297,2024,28,0.0,0.41,0.08
40297,2024,29,0.0,0.28,0.3
40297,2024,30,0.0,0.17,0.08
40297,2024,31,0.0,0.25,0.06
40297,2024,32,0.0,0.53,0.13
40297,2024,33,0.0,0.23,0.13
40297,2024,34,0.0,0.13,0.06
40297,2024,35,0.0,0.0,0.05
40297,2024,36,0.0,0.01,0.01
40297,2024,37,0.0,0.14,0.05
40297,2024,38,0.0,0.1,0.1
40297,2024,39,0.0,0.39,0.05
40297,2024,40,0.0,0.3,0.1
40297,2024,41,0.03,2.49,0.4
40297,2024,42,0.01,1.35,0.41
40297,2024,43,0.13,1.41,0.14
40297,2024,44,0.19,1.09,0.16
40297,2024,45,0.19,1.31,0.06
40297,2024,46,0.33,0.82,0.11
40297,2024,47,0.13,0.42,0.05
40297,2024,48,0.28,1.23,0.14
40297,2024,49,0.08,0.94,0.25
40297,2024,50,0.06,0.9,0.39
40297,2024,51,0.1,1.06,0.25
40297,2024,52,0.08,1.07,0.14
