aquaCultureRegistryVersion,localityNo,municipality,municipalityNo,name
1299,14746,BINDAL,1811,Aarsand
65,30096,MOLDE,1502,Aarset
415,12765,FOLLDAL,0439,Aasen Gård
1299,31937,FLEKKEFJORD,4207,Abelsnes
1299,45119,FLEKKEFJORD,4207,Abelsnes II
1299,10665,LEBESBY,5624,Adamselv
1299,29196,GUOVDAGEAIDNU - KAUTOKEINO,5612,Adjetjohka
1299,13823,STORD,4614,Ådlandsvatn
1174,33437,STAVANGER,1103,Ådnaholmen
1299,30196,MASFJORDEN,4634,Ådnekvamme
233,11934,SANDNES,1102,Ådnøy
1299,35297,SANDNES,1108,Ådnøy Sø
1299,12084,KVINNHERAD,4617,Ænes
70,26075,RENDALEN,0432,Åeng
1299,30977,VESTVÅGØY,1860,Æsøya
1299,33717,MELØY,1837,Æsvika I
1299,15196,BØMLO,4613,Aga Ø
1299,11507,BØMLO,4613,Agapollen
1299,45040,ASKVOLL,4645,Agnalsvika
215,24775,KVINNHERAD,1224,Åkersholmen
1299,10331,KVINNHERAD,4617,Åkre
1299,45162,RENDALEN,3424,Åkre
1299,45163,RENDALEN,3424,Åkre II
1299,32938,RENDALEN,3424,Åkrestrømmen
1299,12067,BJØRNAFJORDEN,4624,Aldalen
1299,12982,ASKVOLL,4645,Aldeøyna
84,11838,ASKVOLL,1428,Åleholmen
1299,10298,FITJAR,4615,Ålforo
1299,45106,VOLDA,1577,Alida
1299,11756,AUSTRHEIM,4632,Allersholmen
1299,45078,KINN,4602,Almbakkevika
1169,28836,HERØY I NORDLAND,1818,Almenningen Ø
1299,13271,FLATANGER,5049,Almurden
1299,12086,KVINNHERAD,4617,Alsåkervik
1299,11416,ØKSNES,1868,Alsvåg
1299,13227,BJØRNAFJORDEN,4624,Altaneset
1299,11179,VÅGAN,1865,Alterosen
1194,11176,VÅGAN,1865,Alterosen Land
70,21376,FINNØY,1141,Alveskjær
1299,11579,BERGEN,4601,Alvøen
1299,10319,KINN,4602,Ålvora
1299,26375,MELØY,1837,Åmøya
1299,11330,GRATANGEN,5516,Åmundsvika
1299,11513,BØMLO,4613,Andal
198,13108,VEVELSTAD,1816,Andalsvågen
1299,38037,VEVELSTAD,1816,Andalsvågen I
1105,10289,BØMLO,4613,Andarevågen
1299,33457,STEIGEN,1848,Ånderbakk
1299,35717,STEIGEN,1848,Ånderbakk Alge
1299,11339,IBESTAD,5514,Ånderkleiva
1299,32277,SMØLA,1573,Andholmen 1
1049,32297,SMØLA,1573,Andholmen 2
528,33257,STAVANGER,1103,Andreggrunnen
1299,30156,STEIGEN,1848,Anevik
1299,13563,OSTERØY,4630,Angelskår
1299,13518,TROMSØ,5501,Angstauren
1051,32017,NAMSOS,5007,Ånholmen
1299,11793,ASKVOLL,4645,Ånnaholmane
161,12123,TYSNES,1223,Ånuglo N
103,18875,STORD,1221,Apalevika
1299,45148,STAD,4649,Apalset
1299,29816,ULLENSVANG,4618,Apalvikneset
1299,29416,UNJÁRGA - NESSEBY,5636,Åpenvik
1038,12085,KVAM,4622,Aplavika
1299,45204,KARMØY,1149,Årabrotholmen
1299,11364,SENJA,5530,Årberg
1299,45033,HJELMELAND,1133,Årdal
1299,12219,GLOPPEN,4650,Åreneset
1299,12173,VIK,4639,Arnafjord
1299,24695,NAMSOS,5007,Årnes
1299,17276,GRIMSTAD,4202,Arnevik
209,11161,HADSEL,1866,Årnøy II
442,11119,GILDESKÅL,1838,Arnøysundet
1299,10735,LYNGEN,5536,Årøya
1299,45082,HUSTADVIKA,1579,Årsbogen
1299,35797,NÆRØYSUND,5060,Årsetfjorden
107,13027,NÆRØY,1751,Årseth
1299,35357,FITJAR,4615,Årskog
1299,39457,FITJAR,4615,Årskog II
257,13775,VÅGAN,1865,Årsteinfoten
1299,37837,VÅGAN,1865,Årsteinfoten Alge
413,11216,FLAKSTAD,1859,Skjelfjord
1299,10406,NAMSOS,5007,Årvika
1299,12754,ÅFJORD,5058,Askerholmen
231,13452,KVINNHERAD,1224,Askjevika
44,23815,LURØY,1834,Aspeneset
107,12717,NÆRØY,1751,Aspenget
130,12523,HVALER,0111,Aspholmen
233,11942,SANDNES,1102,Aspøy Nv
233,11938,SANDNES,1102,Aspøy Ø
248,10960,ALSTAHAUG,1820,Aspviksundet
1299,12668,NÆRØYSUND,5060,Astridholmen
528,20496,STAVANGER,1103,Atlatveit
105,11967,FINNØY,1141,Audbø S
1299,14016,LILLESAND,4215,Auenes
1048,13254,AVERØY,1554,Aukan
429,32077,AURE,1576,Aukan
1299,45087,AVERØY,1554,Aukan
1299,45159,AURE,1576,Aukan
1299,12988,AUKRA,1547,Aukrasanden
448,10870,VEVELSTAD,1816,Aunholmen Ø
1299,10221,SMØLA,1573,Aunvågen
96,10434,VEVELSTAD,1816,Aunvågen Visten
1299,12357,FRØYA,5014,Aursøysva
1299,32557,VÅGAN,1865,Ausa Vest I
1299,10275,LOPPA,5614,Auskarnes Ø
1299,11800,KINN,4602,Austneståa
1299,45131,AUSTEVOLL,4625,Austevoll Vgs
45,11505,BØMLO,1219,Austnesvågen
91,14204,BØMLO,1219,Austnesvågen S
240,11564,SVEIO,1216,Austrevågen
1299,26795,FLATANGER,5049,Austvika
62,17735,NORDKAPP,2019,Avløysningen
1299,13572,HITRA,5056,Badstuvika
1222,39077,ALSTAHAUG,1820,Bærøya
1299,12730,NÆRØYSUND,5060,Båfjorden
1299,29016,NÆRØYSUND,5060,Båfjordstranda
49,12152,LINDÅS,1263,Bakarbukti
1299,45017,MÅSØY,5618,Bakfjorden
1299,13341,BREMANGER,4648,Bakjestranda
1299,19395,KVAM,4622,Bakka
141,10283,NORDKAPP,2019,Baklia
69,12549,ÅMOT,0429,Bakstadgrenda
1299,32537,SENJA,5530,Baltsfjord
1299,13305,SENJA,5530,Barbogen
93,14259,HAMARØY,1849,Barholmen V
1299,13843,KINN,4602,Barlindbotn
773,13873,MASFJORDEN,4634,Barlingebotten
1299,11749,GULEN,4635,Bårøy
1299,31877,NAMSOS,5007,Barøya
1299,10183,ØRSTA,1520,Barstadvik
1299,39117,KINN,4602,Barstadvik
1299,45212,KINN,4602,Barstadvik II
1299,10862,BINDAL,1811,Båsen
1299,18235,HJELMELAND,1133,Bastli
56,12255,MIDSUND,1545,Båtnesbukta
1299,45182,GJEMNES,1557,Batnfjorden
1299,12517,NORD-AURDAL,3451,Begna
1299,13845,STAD,4649,Beitveit
1299,16496,NAMSOS,5007,Bekkavika
234,12516,SØR-AURDAL,0540,Bekkivoll Seter
1299,25055,HYLLESTAD,4637,Bekksneset
93,27656,GRATANGEN,1919,Belneset
1299,13964,HEIM,5055,Belsvik
90,10706,STORFJORD,1939,Bentsjordbukta
154,27556,HITRA,1617,Beøya
119,26437,BREMANGER,1438,Berastøa
1052,13828,STORD,4614,Berfot Kvarvadalen
1299,12095,KVAM,4622,Bergadalen
59,12768,RINGEBU,0520,Berget
1299,45049,NARVIK,1806,Bergkråa
264,27295,HEMNE,1612,Bergneset N
90,10556,STORFJORD,1939,"Bergodden,Storfjord"
81,10812,ALTA,2012,Bergsnes Ø
1299,20396,ALTA,5601,Bergsnes V
527,30397,STEIGEN,1848,Bergsøy
694,13872,MASFJORDEN,4634,Bergsvik
1299,11241,HADSEL,1866,Bergvikodden
928,10146,BJØRNAFJORDEN,4624,Berlandstveit
1299,12596,ÅFJORD,5058,Bessaker
46,12598,ROAN,1632,Bessakerholmen
1299,36057,OSLO,0301,Norsk Senter For Molekylærmedisin (Ncmm)
53,10510,HADSEL,1866,Bitterstad
1299,11930,SULDAL,1134,Bjelkavik
1299,12172,KVAM,4622,Bjølvefossen
1299,12178,HØYANGER,4638,Bjønnspjotneset
1299,36097,HØYANGER,4638,Bjønnspjotneset II
1299,36098,HØYANGER,4638,Bjønnspjotneset III
299,32177,EVJE OG HORNNES,0937,"Bjorå, Gnr 42 Bnr 4"
1299,24655,STEINKJER,5006,Bjørga
1299,31738,SØRREISA,5526,Bjørga
1299,12625,FLATANGER,5049,Bjørgan
69,13174,SØNDRE LAND,0536,Bjørgo
1299,31317,HAMARØY,1875,Bjørkvik
140,30937,FAUSKE,1841,Bjørkvika
1188,12507,SØNDRE LAND,3447,Bjørlia
1299,22455,VANYLVEN,1511,Bjørlykkestranda
1299,12308,ØRSTA,1520,Bjørndal
72,10633,KVALSUND,2017,Bjørneklubben
1299,33877,MOLDE,1506,Bjorneremsbukta
1299,23436,SOLUND,4636,Bjørnholmen
1299,34997,BODØ,1804,Bjørnøya
309,25975,LEKA,1755,Bjørnskjæret
1299,13185,DØNNA,1827,Bjørnsøya
1299,11340,IBESTAD,5514,Bjørnstein
274,11274,SØRFOLD,1845,Bjørnsvik
1299,45192,NESNA,1828,Bjørnvika
246,32957,LEIRFJORD,1822,Bjørshammaren
1299,13653,ALVER,4631,Bjørsvik
1299,13115,ALSTAHAUG,1820,Blåbærvika
1299,29458,TROMSØ,5501,Blåmannsvik
1299,19255,SØR-VARANGER,5605,Blåsenborgneset
1299,45072,KINN,4602,Bleket
1299,13274,NAMSOS,5007,Blikengfjorden
528,12485,OSLO,0301,Blindern
130,13809,HVALER,0111,Blindskjær
1299,11408,SORTLAND,1870,Blokken
137,10964,LURØY,1834,Blokkholmen
1299,12156,OSTERØY,4630,Blom
1299,31857,ALSTAHAUG,1820,Blomsøråsa
54,12448,AURE,1576,Blomvikbugen
459,24915,VEGA,1815,Bøbukta
1299,40138,VEGA,1815,Bøbukta Alge
1299,11399,KVÆFJORD,5510,Bogelva
1299,10212,KRISTIANSUND,1505,Bogen
1299,10503,STEIGEN,1848,Bogen
440,12252,MIDSUND,1545,Bogen Md
1299,13209,ALVER,4631,Bognøy
251,22875,AURE,1576,Boktahammeren
1299,13284,DØNNA,1827,Sjølyst
69,12550,ÅMOT,0429,Bolstadrønningen
180,13954,HVALER,0111,Bomme
1299,13143,LEBESBY,5624,Bondejorda
1299,10256,NÆRØYSUND,5060,Bondøya
1299,11248,BØ I NORDLAND,1867,Bonhammaren
1299,20536,NAMSOS,5007,Bonstranda
1299,11754,ALVER,4631,Bøøy
1299,37237,HASVIK,5616,Børfjord
1299,15796,SULDAL,1134,Borgarliflot
1299,13905,NAMSOS,5007,Borgsvika
467,23215,HARSTAD,1903,Bornøy
134,19842,FUSA,1241,Børøy
1299,20876,ØKSNES,1868,Børøya
1299,11230,HADSEL,1866,Børøya Slaktemerd
55,26095,SORTLAND,1870,Børsbukta
1299,24255,LARVIK,3909,Børstadbukta
1299,14715,FJALER,4646,Bortheim
1299,13666,BREMANGER,4648,Bortne
1299,36417,HAMMERFEST,5603,Borvika
694,12836,ARENDAL,4203,Bota Oksefjorden
1299,10220,HEIM,5055,Botn
1299,13152,BREMANGER,4648,Botnane
1299,13214,KINN,4602,Botnaneset
1299,37657,KINN,4602,Botnaneset II
1038,36157,KINN,4602,Botnastranda
1299,45160,KINN,4602,Botnastranda
207,13747,FOSNES,1748,Bragstadsundet III
1299,13149,BØMLO,4613,Brakedal
1299,38837,NAMSOS,5007,Brakstadsundet
66,12326,HAREID,1517,Brandal
1299,12040,KVINNHERAD,4617,Brandaskuta
1299,34897,ÅFJORD,5058,Brandsfjorden
1299,11488,AUSTEVOLL,4625,Brattavika
1299,33137,GRATANGEN,5516,Brattberg
1299,45123,HEMNES,1832,Brattfloget
1299,11015,HERØY I NORDLAND,1818,Brattholmen
1299,13205,SOLUND,4636,Brattholmen
291,11514,SVEIO,1216,Brattholmen S
1299,25716,TYSVÆR,1146,Brattholmen Sv
1299,25715,TYSVÆR,1146,Brattholmskjæret
1299,24836,TRONDHEIM,5001,Brattørkaia
1299,27576,TRONDHEIM,5001,Brattørkaia 17b
1299,37917,GULEN,4635,Brattøyna
48,22075,AURE,1576,Brattset
