locality_no,year,week,is_slaughter_boat,is_wellboat,mmsi,ship_register_vessel_type,ship_register_vessel_type_name_en,ship_register_vessel_type_name_no,ship_type,start_time,stop_time,vessel_name
40297,2024,3,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-01-17T09:19:40Z,2024-01-17T10:24:19Z,GURI
40297,2024,4,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-01-24T12:21:18Z,2024-01-24T14:07:35Z,GURI
40297,2024,6,false,false,257233800,1B,OIL TANKER,TANKSKIP: OLJE,89,2024-02-05T12:28:35Z,2024-02-05T12:50:44Z,VESTSERVICE
40297,2024,7,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-02-13T12:20:46Z,2024-02-13T13:26:04Z,GURI
40297,2024,8,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-02-22T09:11:38Z,2024-02-22T09:38:13Z,GURI
40297,2024,10,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-03-07T07:30:04Z,2024-03-07T08:01:09Z,GURI
40297,2024,14,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-04-03T08:04:24Z,2024-04-03T13:42:52Z,GURI
40297,2024,14,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-04-04T12:24:25Z,2024-04-04T13:49:06Z,GURI
40297,2024,14,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-04-05T07:38:43Z,2024-04-05T08:14:10Z,GURI
40297,2024,14,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-04-05T11:42:40Z,2024-04-05T12:41:59Z,GURI
40297,2024,15,false,false,257079810,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,60,2024-04-08T07:49:08Z,2024-04-08T07:54:42Z,GENITO JR.
40297,2024,16,false,false,259506000,4B,GENERAL DRY CARGO SHIP,STYKKGODSSKIP: VANLIG STYKKGODS,79,2024-04-19T05:43:27Z,2024-04-19T06:20:28Z,SVEASUND
40297,2024,16,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-04-16T07:10:17Z,2024-04-16T09:56:10Z,GURI
40297,2024,17,false,false,257725000,4B,GENERAL DRY CARGO SHIP,STYKKGODSSKIP: VANLIG STYKKGODS,70,2024-04-26T05:54:52Z,2024-04-26T06:32:12Z,HØYDAL
40297,2024,17,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-04-23T07:05:37Z,2024-04-23T13:45:38Z,GURI
40297,2024,17,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-04-24T08:43:09Z,2024-04-24T16:32:32Z,GURI
40297,2024,17,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-04-25T11:48:02Z,2024-04-25T15:41:51Z,GURI
40297,2024,17,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-04-26T07:56:37Z,2024-04-26T12:59:55Z,GURI
40297,2024,18,false,false,257009680,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,97,2024-04-29T07:22:47Z,2024-04-29T13:49:38Z,FRØY NJORD
40297,2024,18,false,true,259488000,3H,WELL BOAT,BRØNNFARTØY,95,2024-05-02T03:02:20Z,2024-05-02T03:51:20Z,ROBAS
40297,2024,18,false,true,259488000,3H,WELL BOAT,BRØNNFARTØY,95,2024-05-02T04:39:20Z,2024-05-02T15:15:19Z,ROBAS
40297,2024,18,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-04-29T07:46:57Z,2024-04-29T13:38:28Z,GURI
40297,2024,18,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-04-30T07:11:30Z,2024-04-30T13:21:37Z,GURI
40297,2024,18,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-04-30T14:36:00Z,2024-04-30T16:18:36Z,GURI
40297,2024,18,false,false,257654600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,2024-05-03T08:06:00Z,2024-05-03T08:33:44Z,GURI
40297,2024,18,false,false,257547800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,2024-04-30T09:00:30Z,2024-04-30T09:37:30Z,ERLING
