is_slaughter_boat,is_wellboat,mmsi,ship_register_vessel_type,ship_register_vessel_type_name_en,ship_register_vessel_type_name_no,ship_type,vessel_name
false,false,257045600,,,,70,0000
false,false,258027830,,,,70,AARDALSBUEN
false,false,257912800,,,,79,AARNES
false,false,257697900,,,,70,AAROEY
false,false,257022550,7A1,TUG,SLEPEBÅT,52,AAS PROVIDER
false,false,257077950,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,90,AASE
false,false,257057160,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,AASE
false,false,586707187,,,,0,AASSJOEN BOUY
false,false,257087560,,,,40,AASVAERKONGEN
false,false,257002270,7A1,TUG,SLEPEBÅT,52,ABBE
false,false,257130540,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ÅBORNES
false,false,259582000,7A1,TUG,SLEPEBÅT,52,ABRAMIS
false,false,257901600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ADELEN
false,false,257032320,,,,70,AEGIR
false,false,257681900,5I1,CATAMARAN,KATAMARAN,56,AGDER CAT
false,false,257959800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,AGNES
false,false,276826000,,,,70,AGOT
false,false,258029590,,,,60,AH1
false,false,258284500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,AIDA 
false,false,257714500,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,79,AKTI PIONER
false,false,257178900,5K1,SMALL CAPACITY PASSENGER SHIPS & FERRIES,FARTØY MED BEGRENSET PASSASJERBEFORDRING,34,AKVA
false,false,259032810,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,AKVA AURORA
false,false,257860800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,AKVA FIGHTER
false,false,257060530,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,60,AKVA MULTI
false,false,257837700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,53,AKVA SERVER
false,false,257001030,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,AKVAFRØY
false,false,258207480,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,AKVAMØY
false,true,257034600,3H,WELL BOAT,BRØNNFARTØY,99,AKVATRANS
false,false,257036430,,,,30,ALANGEN
false,false,259205000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,ALBACORE
false,false,257740500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,ALEAH
false,false,257059430,,,,37,ALF
false,false,257155740,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,ALF SIGMUND
false,false,258099500,,,,30,ALFA
false,false,257989600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,ALFA HELIX
false,false,257993700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ALFIE
false,true,258026840,3H,WELL BOAT,BRØNNFARTØY,79,ÅLFJORD
false,false,258024570,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ALIS
false,false,257036290,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ALKEKONGEN
false,false,257211840,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,99,ALLJO
false,false,258338500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ALPHA
false,false,257131250,,,,40,ALTA
false,false,257051970,,,,60,ALTA
false,false,257017030,,,,51,ALTA
false,false,257755800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ALTSULA
false,false,257529700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,53,ALVHILD
false,false,258224500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,AMALIE
false,false,257098880,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,60,AMANDA
false,false,257900700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,AMANDA
false,false,257077600,7A,TUG/SALVAGE SHIP,SPESIALSKIP: SLEPE/BERGING,31,AMAZON
false,false,257514500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,90,AMRON
false,false,257553600,,,,77,ANDA
false,false,257639500,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,ANDENESVÆRING
false,false,257089060,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,53,ANDO
false,false,257548600,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,ANDOPSVÆRING
false,false,219031446,,,,85,ANDREA
false,false,257138440,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,ANDREA
false,false,258296500,8K1,DRY FODDER BOAT,FORINGSBÅT,53,ANDREA-S
false,false,257761500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,53,ANDREAS
false,false,257063120,,,,99,ANE
false,false,257028190,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ANE H
false,false,257055730,,,,70,ANITA
false,false,257004730,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ANJA
false,false,257112640,,,,30,ANJA KRISTINE
false,false,257813900,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ANN CARINA
false,false,257055440,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ANN ELIN
false,false,257152740,,,,30,ANN LINE
false,false,257000340,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,ANN SOFIE
false,false,257661600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,99,ANN-SYLVI
false,false,257715800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ANNA
false,false,257822800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,53,ANNA
false,false,259350000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,ANNA-SOFIE
false,false,257663800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ANNCA
false,false,257132580,,,,53,ANNE
false,false,257938900,4B,GENERAL DRY CARGO SHIP,STYKKGODSSKIP: VANLIG STYKKGODS,60,ANNE BRO
false,false,257829600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,99,ANNE GRO
false,false,257220040,,,,79,ANNE KRISTIN
false,false,257354620,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,99,ANNE MARIE
false,false,258137500,,,,34,ANNE MERETE
false,false,257035570,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,90,ANNELIDA
false,false,257016060,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,56,ANNY
false,false,257086540,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,99,ANNY LOVISE
false,false,258007290,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,ANSNES
false,false,246337000,,,,36,ANTIGUA
false,false,259029390,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ANTON
false,false,257109540,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,99,ANTON JUNIOR
false,false,257003900,9E1,BARGE,LEKTER,33,APOLLON
false,false,257858600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,AQS BRAGE
false,false,258264500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,AQS FRIGG
false,false,259031550,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,AQS HEIMDAL
false,false,258125000,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,AQS LOKE
false,false,257771700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,34,AQS MARINE
false,false,258721000,4B,GENERAL DRY CARGO SHIP,STYKKGODSSKIP: VANLIG STYKKGODS,70,AQS NAMDAL
false,false,257001950,7D1,SUPPLY VESSEL,FORSYNINGSSKIP,52,AQS NJORD
false,false,257800700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,AQS NORDLAND
false,false,259261000,4A,GENERAL CARGO SHIP: - UNSPECIFIED,STYKKGODSSKIP: - UBESTEMT,70,AQS ODIN
false,false,257128500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,34,AQS RAVN
false,false,257801700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,AQS RØRVIK
false,false,259031540,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,AQS SAGA
false,false,259029100,7K,OTHER SPEC. SERV. SHIP/SAND BLAST/DIVING,SPESIALSKIP: ANDRE SPESIAL/SANDBLÅS/DYKK,49,AQS SIV
false,false,258013510,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,AQS TOR
false,false,258030270,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,31,AQS TRYM
false,false,257010730,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,AQS TYR
false,false,257034390,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,99,AQUA FARMS III
false,false,258017890,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,99,AQUA FIGHTER
false,false,257659800,4B,GENERAL DRY CARGO SHIP,STYKKGODSSKIP: VANLIG STYKKGODS,30,AQUA FJELL
false,false,258031000,4B,GENERAL DRY CARGO SHIP,STYKKGODSSKIP: VANLIG STYKKGODS,79,AQUA FJORD
false,true,259420000,3H,WELL BOAT,BRØNNFARTØY,99,AQUA GRIPFISK
false,true,257594000,3H,WELL BOAT,BRØNNFARTØY,70,AQUA HAVSØY
false,true,257703000,3H,WELL BOAT,BRØNNFARTØY,75,AQUA HOMBORØY
false,false,258901000,4B,GENERAL DRY CARGO SHIP,STYKKGODSSKIP: VANLIG STYKKGODS,70,AQUA JUNIOR
false,false,257037570,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,52,AQUA KING
false,true,257069640,3H,WELL BOAT,BRØNNFARTØY,79,AQUA KVALØY
false,true,257069641,3H,WELL BOAT,BRØNNFARTØY,77,AQUA KVALØY
false,true,257072712,3H,WELL BOAT,BRØNNFARTØY,79,AQUA KVALØY
false,true,257069654,3H,WELL BOAT,BRØNNFARTØY,99,AQUA KVALØY
false,true,257079880,3H,WELL BOAT,BRØNNFARTØY,99,AQUA KVALØY
false,true,259166920,3H,WELL BOAT,BRØNNFARTØY,99,AQUA KVALØY
false,true,257151560,3H,WELL BOAT,BRØNNFARTØY,99,AQUA KVALØY
false,true,257397320,3H,WELL BOAT,BRØNNFARTØY,99,AQUA KVALØY
false,true,257069643,3H,WELL BOAT,BRØNNFARTØY,99,AQUA KVALØY
false,true,257069672,3H,WELL BOAT,BRØNNFARTØY,79,AQUA KVALØY
false,false,258270000,2A,CARGO/BULK/CONTAINER CARRIER,KOMBINERTSKIP: STYKKGODS/BULK/CONTAINER,70,AQUA LADY
false,true,257087580,3H,WELL BOAT,BRØNNFARTØY,70,AQUA MALØY
false,false,257242600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,AQUA MARINE
false,false,257511700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,34,AQUA MASTER
false,true,257033140,3H,WELL BOAT,BRØNNFARTØY,70,AQUA MERDØ
false,true,257090850,3H,WELL BOAT,BRØNNFARTØY,99,AQUA MIST
false,false,257738800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,AQUA MULTI
false,true,259307000,3H,WELL BOAT,BRØNNFARTØY,70,AQUA PRINCE
false,false,259151000,4D,PALLET CARRIER,STYKKGODSSKIP: PALLE,70,AQUA SENIOR
false,false,258254500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,AQUA SERVER
false,true,257563000,3H,WELL BOAT,BRØNNFARTØY,70,AQUA SKILSØY
false,true,257648000,3H,WELL BOAT,BRØNNFARTØY,90,AQUA SKYE
false,true,257624000,3H,WELL BOAT,BRØNNFARTØY,99,AQUA SOLUNDOY
false,true,257076980,3H,WELL BOAT,BRØNNFARTØY,99,AQUA SPA
false,false,257010430,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,AQUA STAR
false,false,257036790,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,AQUA SUPPORTER
false,true,259605000,3H,WELL BOAT,BRØNNFARTØY,99,AQUA TRANSPORTER
false,true,257362560,,,,99,AQUA TROMØY
false,true,257360000,,,,99,AQUA TROMØY
false,true,257360384,,,,99,AQUA TROMØY
false,true,257368192,,,,99,AQUA TROMØY
false,true,257360005,,,,99,AQUA TROMØY
false,true,257366144,,,,99,AQUA TROMØY
false,true,257370241,,,,99,AQUA TROMØY
false,true,257982700,3H,WELL BOAT,BRØNNFARTØY,70,AQUA VIKING
false,false,257449900,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,AQUA VIKING
false,true,257001640,3H,WELL BOAT,BRØNNFARTØY,99,AQUA-TRANS
false,false,257022280,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,90,AQUAFARMS I
false,false,257031370,,,,90,AQUAFARMS II
false,true,257328900,3H,WELL BOAT,BRØNNFARTØY,70,AQUAFISK SENIOR
false,true,257328940,3H,WELL BOAT,BRØNNFARTØY,99,AQUAFISK SENIOR
false,false,257159900,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,90,AQUARIUS
false,false,257993900,,,,90,AQUARO
false,false,257593900,4B,GENERAL DRY CARGO SHIP,STYKKGODSSKIP: VANLIG STYKKGODS,99,AQUATRANS
false,false,258143240,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,53,ARARAT
false,false,257068020,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,60,ARCTIC AURORA
false,false,257733290,9C,PLEASURE CRAFT/YACHT,FRITIDSFARTØY,36,ARCTIC AURORA
false,false,257009450,,,,70,ARCTIC CAPTAIN
false,false,257127330,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,60,ARCTIC CRUISE
false,false,257032420,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ARCTIC DIVE
false,false,257967690,9C,PLEASURE CRAFT/YACHT,FRITIDSFARTØY,36,ARCTIC LIGHT
false,false,257997800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ÅRDALSBUEN
false,false,257526390,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,99,ARES
false,false,109080397,,,,0,ARGO JR BOUY 5
false,false,257071340,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,ARGO JUNIOR
false,false,259017940,,,,70,ARIEL
false,false,257010250,,,,34,ARIEL
false,false,257301120,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,99,ARIEL
false,false,257480600,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,99,ARINA
false,false,257145820,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,ARKTOS
false,false,257862800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,34,ARLENE
false,false,257011100,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,ARMAND
false,false,257580600,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,ARNØYFJORD
false,false,259038590,,,,99,ARNOYJENTA
false,false,257396900,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,ARNØYSUND
false,false,259637000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,ARNØYTIND
false,false,259002170,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,90,ARRONET
